bigram,count
corona jadi,1284
ga psbb,1283
pas corona,1280
apa https,1279
2 minggu,1277
19 1,1275
gak mau,1275
ga corona,1273
masker biar,1273
meninggal covid,1273
yg cari,1273
kesehatan keselamatan,1271
1trenggalek selalu,1268
virus https,1267
kalo keluar,1266
aja ga,1262
luar biasa,1261
aja udah,1261
kek gini,1259
masker warga,1259
krn covid,1258
sama masker,1255
terhindar covid,1252
udah mulai,1252
sama corona,1252
gatot eddy,1251
masker serentak,1251
3m https,1250
19 menerapkan,1248
masker jadi,1244
kesehatan lingkungan,1240
masker terus,1240
update data,1238
rajin mencuci,1237
19 segera,1233
mulai psbb,1232
hari kemerdekaan,1231
hidup sehat,1231
tokoh masyarakat,1230
tempat wisata,1228
pandemi ga,1222
via https,1221
jalan https,1220
maskernya biar,1219
berlalu lintas,1217
19 terus,1216
udah ga,1216
gara2 corona,1213
tiba tiba,1212
keluarga orang,1210
kamu selalu,1210
sms wa,1208
sama covid,1208
kain motif,1208
bergerak bersama,1204
kesehatan masyarakat,1203
tangani covid,1203
1trenggalek masker,1202
wa 0877,1202
selama corona,1202
warga https,1202
0877 7000,1201
7000 7581,1201
anggota polri,1198
penyebaran covid19,1196
memperhatikan protokol,1194
selalu mematuhi,1193
disaat pandemi,1192
eddy pramono,1190
klaster baru,1188
percaya covid,1188
melindungi kamu,1184
nya https,1181
protokol k,1180
unt https,1179
corona ilang,1179
08 2020,1175
diri keluarga,1173
sabhara polres,1170
masker 2,1170
pas psbb,1169
masker lindungi,1169
yg meninggal,1166
19 jakarta,1164
masker buat,1160
wakapolri komjen,1159
masker jangan,1159
masker tetap,1157
hindari kerumunan,1157
wajib menggunakan,1154
selalu pake,1154
ha https,1154
tugas covid,1154
sembuh https,1152
sosial berskala,1152
pol dr,1150
kesehatan 3,1150
disiplin mematuhi,1149
polres bwoso,1148
berskala besar,1148
1trenggalek penerapan,1147
bangkit https,1146
pr https,1145
humaskedirires https,1144
beraktivitas luar,1140
kesehatan pencegahan,1138
kesadaran men,1137
sama keluarga,1136
jangan pernah,1136
wa 089672741910,1136
panglima tni,1136
corona kelar,1135
covid gini,1132
tetap produktif,1130
kebijakan psbb,1129
mengakhiri pandemi,1125
komjen pol,1122
kesehatan anggota,1121
metro jaya,1121
covid makin,1121
mohon maaf,1121
jarak jaga,1118
s i,1118
ter https,1117
apa sih,1116
tetap menjaga,1115
tangan mencegah,1115
w https,1115
masker putus,1114
masker gue,1114
masker medis,1112
hari senin,1110
kalo gak,1107
19 jangan,1102
sama sekali,1101
anak https,1100
udah mau,1099
berusaha bersama,1096
selalu https,1096
siapa yg,1094
tokoh agama,1093
psbb yg,1093
sejak awal,1092
mengenakan masker,1090
yan https,1090
de https,1090
tangan memakai,1088
1trenggalek upaya,1087
sama patuhi,1087
per hari,1087
ridwan kamil,1087
8 2020,1084
pendisiplinan masyarakat,1084
corona cepat,1084
sat sabhara,1083
line blz0121v,1083
bersama mengakhiri,1082
psbb nya,1082
bersama berusaha,1081
corona ka,1081
yaa https,1080
keseh https,1079
apa apa,1078
selamat siang,1075
ekonomi nasional,1075
kesehatan jaga,1072
aman https,1071
ga si,1071
biar terhindar,1067
aku https,1067
rantai penularan,1064
hari pertama,1063
dipakai maskernya,1060
dr gatot,1058
kalau mau,1057
memasuki adaptasi,1056
masker mencegah,1056
bangsa merupakan,1055
merupakan aset,1055
kesehatan indonesia,1055
pastikan kamu,1054
kesehatan masa,1053
barat https,1053
karna covid,1052
masa psbb,1051
kesehatan yaa,1050
korban covid,1050
gegara corona,1049
aset masa,1046
tertib protokol,1045
ulang tahun,1045
kalo pandemi,1045
data covid,1043
buat beli,1042
komponen bangsa,1041
meminimalisir penularan,1040
melanggar protokol,1040
menjaga diri,1039
covid udah,1038
calon kepala,1037
total https,1035
pdi perjuangan,1035
penyebaran corona,1034
pandemi yg,1034
banyak banget,1032
yg paling,1032
babinsa koramil,1032
shopee sekarang,1032
mengajak seluruh,1031
meninggal https,1030
memberikan masker,1029
seluruhnya komponen,1028
bangsa bergerak,1028
pandemi begini,1028
kalo udah,1028
09 2020,1028
komite penanganan,1028
corona masuk,1027
pertama kali,1027
memakai https,1022
ekonomi https,1018
kese https,1016
yg bilang,1016
tie dye,1015
melindungimu maskermu,1014
pilkada ditengah,1013
ajak masyarakat,1011
tetap gunakan,1008
positif https,1008
maske https,1005
bis https,1003
covid jadi,1003
089672741910 line,1001
terinfeksi covid,1001
masker kamu,1000
ga percaya,1000
aja sih,999
india mitega,999
soal covid,999
10 000,997
pramono https,996
polri terus,996
corona selesai,996
