term,count
bioskop,1928
mendukung,1927
kafirnw,1925
ketat,1921
maskernya,1910
pen,1910
ngapain,1909
maulid,1908
lalin,1906
anti,1906
pandemic,1903
uda,1901
po,1898
nitip,1895
namanya,1891
berkerumun,1890
viual,1888
tindakan,1884
cantik,1884
duduk,1883
sms,1883
rabu,1878
menghindari,1877
offline,1876
seharga,1873
jogja,1871
relawan,1870
dukung,1868
satpol,1867
yo,1865
dialogis,1862
minum,1860
el,1857
ds,1850
kompascom,1850
sibuk,1849
nikah,1847
bu,1847
norman,1842
motif,1841
tia,1840
penggunaan,1840
inget,1836
pernikahan,1834
bro,1834
disuruh,1834
sabtu,1829
